Utterance,Emotion,Cause
"I was super irritated when my boss kept pulling my hair for ""fun"". He doesn't seem to realize how irritating it can be.",__annoyed__,abuse
I went out to my car one morning to go to work. Some kids in the condo complex had thrown food all over the top of my car.,__angry__,abuse
The police officer tried to harass me.,__angry__,abuse
Someone had pull a stick prank on me and slashed my car tires and bashed my windshield in at my apartment complex.,__devastated__,abuse
A guy cut in front of some people in a line at a store and I confronted him. He flipped me off and we exchanged very heated words. The confrontation almost got physically but finally he left.,__furious__,abuse
"Once, I came home from a night out and my room was ransacked. My roommate was an alcoholic, and he had even thrown some of my belongings in the bathtub. Of course, he didn't remember doing it either.",__furious__,abuse
"There was a guy at a place I worked at that was stalking me. He would write me creepy letters, come by to talk to me, and try to follow me home.",__terrified__,abuse
I was furious when my friend made fun of me in front of random strangers.,__furious__,abuse
I am disgusted because of my friends pulling pranks on me.,__disgusted__,abuse
I was appalled at the way my friend approached me last night.,__disgusted__,abuse
My husband's brother stole $500 from us let's talk about someone being beyond mad more like furious.,__angry__,abuse
I was so angry when i found out my dogwalker used to torchur my dog. I was so mad that i fired her then and there.,__furious__,abuse
Ex blames me for all things bad.,__guilty__,abuse
I am so scared to live in my neighborhood. There is people that come around shooting their guns.,__terrified__,abuse
I found a rabbit that had been shot by someone in my yard.,__disgusted__,abuse
"Last week, they arrested 9 people for animal cruelty at a nearby farm and the place was littered with dead and sick and dying animals that they weren't taking care of.",__disgusted__,abuse
"I saw a kid beat up a dog the other day, I felt angry.",__furious__,abuse
"I went to the zoo last month, I haven't been since I was a kid. I went to a zoo that was supposed to be one of the top zoos, however I couldn't help but feel bad for the animals the whole time.",__sad__,abuse
I get so annoyed and angry when I hear of people being mean to animals. These helpless animals have no clue why people are so mean either.,__disappointed__,abuse
I get so mad when I watch shows about animal shelters and see how many people abuse animals.,__disgusted__,abuse
They arrested 9 people at a nearby farm for animal cruelty and they are already out on bond!,__furious__,abuse
"It really makes me sad to think there are people who treat animals like trash, animal cruelty is a really serious matter.",__sad__,abuse
I was so scared when i heard a gunshot sound the other day while i was walking through the street. i managed to get the hell out of there,__afraid__,abuse
One time someone came to my door with a gun. He robbed my house,__afraid__,abuse
One time someone came to my door with a gun. He wanted money but I didn't have any so he stole some items from the house,__afraid__,abuse
"Recently a man tried to break into our house. It was late at night, and he was kicking the door. My entire family was scared as we waited for the police to show up.",__afraid__,abuse
"I got an phone call from someone I used to know. It was threatening in nature, and I am scared.",__afraid__,abuse
I heard a really loud bang in the middle of the night. the next morning I found out that it was gun shots. OMG,__afraid__,abuse
"On my way to work, a goose stole my toupee. We just hired a new secretary, Christy, and I need my hairpiece in order to impress her. I am so furious with that goose, I could wring its neck.",__angry__,abuse
Someone ran over my mailbox this morning. They left it totally demolished.,__angry__,abuse
I am still fuming when I think about the person that keyed my car the other day while I was at the grocery store. I don't understand why someone would do that on purpose. I saw them as I was checking out and I didn't even know them.,__angry__,abuse
People who steal make me crazy. I watched some people come into my driveway and try to take my spare gas can!,__angry__,abuse
I came outside this morning and found my car had been broken into. I was very upset and frusterated,__angry__,abuse
"Last week, someone during the night drove off the road and destroyed a large section of my fence. It is going to be expensive to have it replaced.",__angry__,abuse
"Yesterday, at the grocery store I saw a lady spanking her child. The child only asked for a candy bar and was not being out of the norm for children.",__angry__,abuse
"When I was in middle school there was this boy that sat in front of me in 8th, he was always trying to get me to kiss him before class started.",__annoyed__,abuse
it was really hard to hear that there was a shooting in a gas station near me and there was 3 vitims i was really devastated,__devastated__,abuse
Someone stole my credit card information. They have been charging up my card like crazy. I'm scared about my identity.,__devastated__,abuse
"It was my birthday and My friend sent me a birthday card with a gift card in a mail... i never got it, somebody stole it!",__disappointed__,abuse
"I was listening to old school rap in my car. The windows were down, and the car next to me started making fun of me.",__embarrassed__,abuse
"The other day I seen someone had broken into my car. They didn't take anything. I'm not sure if I should feel violated, or bad because I had nothing worth stealing.",__furious__,abuse
"I couldn't believe when I woke up the other day and was about to go to work, I saw that someone had broken in to my car. I was so mad. I had heard there had been some problems with car break-ins but I didn't think it would happen to me because we live in a nice neighborhood.",__furious__,abuse
Someone packed into my car the other day at the supermarket and put a big dent in it. I've only had the car for 10 days.,__furious__,abuse
I found out someone stole my identity. They completely cleared out my bank account and maxed out my credit cards. I am so mad.,__furious__,abuse
"Someone ran into my car while I was grocery shopping. I came out to a huge dent in my car, I was so mad.",__furious__,abuse
I went shopping at the mall the other day. I was really tired and sat down for a few minutes. I placed the bags beside me and looked away for a second and the next thing I knew the bags were gone. I am still so mad,__furious__,abuse
I was pulling into the gas station and this kid felt the need to not only almost hit me but also call me extremely awful names.,__furious__,abuse
I woke up this morning with car damage that happened while I was sleeping.,__furious__,abuse
When people try to control me,__sad__,abuse
I almost lost my mind the other day when I heard gunshots right outside my house. I thought someone was going to come in and shoot me!,__terrified__,abuse
"One time someone came to my door with a gun. He came to the house asking for money but I didn't have any, so he took some items from the house",__terrified__,abuse
"Walking home alone from school one day, three young adults jumped in front of me and yelled in my twelve-year old face. I cried the rest of the way back.",__terrified__,abuse
A guy pulled a REALY big knife out on my husband at a gas station once.,__terrified__,abuse
This guy at school follows me around.,__annoyed__,abuse
Somebody stole a package from my front yard yesterday.,__furious__,abuse
Someone side sideswiped my car last night while I was sleeping and I wasn't aware until I woke up. It was not a good thing to wake up to.,__furious__,abuse
When I interviewed for this job I had to wait for a couple weeks to hear back about it. It was kinda rough.,__anticipating__,assessment_pressure
One time I had an in person interview for a job. I did not really feel prepared for it,__anxious__,assessment_pressure
"When I interviewed for the job I have now, I didn't hear back from them with a solid response for a month. I kept having to check with them to make sure I hadn't been forgotten.",__anxious__,assessment_pressure
I've got a job interview set up for next week and I'm really nervous!,__apprehensive__,assessment_pressure
I'm a bit nervous - I have an upcoming certification exam to take for my teaching license and it's a big deal.,__apprehensive__,assessment_pressure
"I had gone on an interview for a job I wanted. I was waiting to hear back, but it was taking a really long time for them to contact me.",__anxious__,assessment_pressure
I had an unprofessional job interview.,__annoyed__,assessment_pressure
I'm so angry at myself. I was in my performance review today and I passed wind in front of my boss.,__angry__,assessment_pressure
After having 4 interviews none of the employers had called me after 1 week which stressed me out.,__anxious__,assessment_pressure
I had a job interview and was anxious to get it over with.,__anxious__,assessment_pressure
I am really nervous about my upcoming job interview. I am concerned I might screw it up.,__anxious__,assessment_pressure
I was waiting in the waiting room for my last job interview.,__anxious__,assessment_pressure
Once I had an interview for a job. I didn't feel prepared for it at all.,__anxious__,assessment_pressure
I gotta go to this serious interview tomorrow.,__anxious__,assessment_pressure
I had a job interview.,__apprehensive__,assessment_pressure
I had a video job interview.,__anxious__,assessment_pressure
I felt really anxious about my job interview back in September.,__anxious__,assessment_pressure
I have a job interview lined up for next week. i am feeling so nervous about it.,__anxious__,assessment_pressure
I had a job interview and wanted to just get it over with.,__anxious__,assessment_pressure
I'm running my first Marathon Sunday. I'm scared that maybe I did not train hard enough.,__anxious__,assessment_pressure
School is starting up soon and I'm worried I may not be able to keep up with all of the homework.,__afraid__,assessment_pressure
"Im so nervous, have a big exam coming up. I hope I do good.",__anxious__,assessment_pressure
School starts a week from today and I am getting fairly nervous!,__anxious__,assessment_pressure
I am worried about take my finals this week.,__anxious__,assessment_pressure
I barely passed my finals,__disappointed__,assessment_pressure
I'm nervous about taking a test soon.,__anxious__,assessment_pressure
I'm scared of this big test tomorrow.,__afraid__,assessment_pressure
I'm nervous about taking a test soon.,__anxious__,assessment_pressure
"I have a big test on Monday. I am so nervous, I haven't been able to sleep at all.",__anxious__,assessment_pressure
I am nervous for my college test.,__anxious__,assessment_pressure
"Last summer when I took my drivers test, I was so nervous that I would fail.",__anxious__,assessment_pressure
One time I was so nervous to look at my grade for my final exam.,__anxious__,assessment_pressure
"I have a very hard time taking tests. When I know I have an important exam coming up, I worry for weeks in advance. ",__anxious__,assessment_pressure
"My ex and I broke up because he decided that he would no longer be willing to leave his job from overwork, like 70 plus hours a week.",__furious__,break-up
My ex boyfriend of 4 years decided to start seeing someone else which made me so mad and hurt. He dropped me like I was nothing after 4 whole years of hell with him.,__furious__,break-up
"When I was very young, I was dating a guy for several months. He broke up with me and started seeing another girl in our class. I could not stand to see them together.",__jealous__,break-up
